address/city,address/state,address/streetAddress,address/zipcode,bathrooms,bedrooms,datePriceChanged,daysOnZillow,favoriteCount,homeStatus,homeType,isNonOwnerOccupied,latitude,listing_sub_type/is_FSBA,listing_sub_type/is_FSBO,listing_sub_type/is_bankOwned,listing_sub_type/is_comingSoon,listing_sub_type/is_forAuction,listing_sub_type/is_foreclosure,listing_sub_type/is_newHome,listing_sub_type/is_openHouse,listing_sub_type/is_pending,livingArea,longitude,monthlyHoaFee,mortgageRates,mortgageRates/arm5Rate,mortgageRates/fifteenYearFixedRate,mortgageRates/thirtyYearFixedRate,pageViewCount,parentRegion,parentRegion/name,price,priceChange,propertyTaxRate,rentZestimate,restimateHighPercent,restimateLowPercent,taxAssessedValue,taxAssessedYear,timeOnZillow,url,yearBuilt,zestimate,zestimateHighPercent,zestimateLowPercent
Philadelphia,PA,5022 N Smedley St,19141,2,4,,8,3,RECENTLY_SOLD,SINGLE_FAMILY,FALSE,40.03032,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1548,-75.15101,,,4.591,3.941,4.602,125,,Logan,249900,,0.98,1350,11,15,87800,2021,8 days,https://www.zillow.com/homedetails/5022-N-Smedley-St-Philadelphia-PA-19141/10253226_zpid/,1915,249900,5,5
Philadelphia,PA,2336 E Harold St,19125,1,2,,1,15,FOR_RENT,SINGLE_FAMILY,FALSE,39.981407,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,797,-75.1204,,,,,,201,,Fishtown,1800,,0.98,1364,14,21,130400,2021,1 day,https://www.zillow.com/homedetails/2336-E-Harold-St-Philadelphia-PA-19125/10327247_zpid/,1875,196200,15,15
Philadelphia,PA,3454 Hartville St,19134,1,2,,8,0,RECENTLY_SOLD,TOWNHOUSE,FALSE,40.001553,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1024,-75.119064,,,,,,88,,Upper Kensington,60000,,0.98,1063,10,18,28200,2021,8 days,https://www.zillow.com/homedetails/3454-Hartville-St-Philadelphia-PA-19134/10209074_zpid/,1935,,,
Philadelphia,PA,2028 Spring Garden St #3,19130,1,1,,1,24,FOR_RENT,APARTMENT,FALSE,39.96344,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,750,-75.1724,,,,,,363,,Logan Square,1400,,0.98,,,,,,1 day,https://www.zillow.com/homedetails/2028-Spring-Garden-St-3-Philadelphia-PA-19130/2065129556_zpid/,,,,
Philadelphia,PA,221 Longshore Ave,19111,2,3,,8,0,RECENTLY_SOLD,TOWNHOUSE,FALSE,40.057117,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1480,-75.09246,,,4.591,3.941,4.602,128,,Burholme,240000,,0.98,1699,6,12,148600,2021,8 days,https://www.zillow.com/homedetails/221-Longshore-Ave-Philadelphia-PA-19111/10359988_zpid/,1925,247500,5,5
Philadelphia,PA,1169 N Hope St APT 2E,19123,1,1,,2,66,FOR_RENT,APARTMENT,FALSE,39.96845,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,FALSE,,-75.136765,,,,,,782,,Northern Liberties,1295,,,3046,29,46,,,2 days,https://www.zillow.com/homedetails/1169-N-Hope-St-APT-2E-Philadelphia-PA-19123/2083039753_zpid/,2018,577600,15,13
Philadelphia,PA,4051 Spruce St APT 2F,19104,1,1,,1,12,FOR_RENT,APARTMENT,FALSE,39.952232,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,-75.20507,,,,,,197,,University City,1270,,0.98,1200,29,12,,,1 day,https://www.zillow.com/homedetails/4051-Spruce-St-APT-2F-Philadelphia-PA-19104/2095460315_zpid/,,,,
Philadelphia,PA,432 Delmar St,19128,1,3,,8,15,RECENTLY_SOLD,SINGLE_FAMILY,FALSE,40.038437,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1328,-75.22485,,,4.591,3.941,4.602,496,,Roxborough,200000,,0.98,1950,15,18,199900,2021,8 days,https://www.zillow.com/homedetails/432-Delmar-St-Philadelphia-PA-19128/10271975_zpid/,1945,204200,6,5
Philadelphia,PA,2137 Spruce St #4,19103,1,1,,1,77,FOR_RENT,HOME_TYPE_UNKNOWN,FALSE,39.9488,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,-75.17764,,,,,,760,,Rittenhouse,1295,,0.98,1525,18,15,,,1 day,https://www.zillow.com/homedetails/2137-Spruce-St-4-Philadelphia-PA-19103/2070197354_zpid/,1920,,,
Philadelphia,PA,5643 Malcolm St,19143,1,3,,8,0,RECENTLY_SOLD,TOWNHOUSE,FALSE,39.94237,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1038,-75.23295,,,,,,16,,Kingesessing,100000,,0.98,1314,7,11,48300,2021,8 days,https://www.zillow.com/homedetails/5643-Malcolm-St-Philadelphia-PA-19143/10481590_zpid/,1925,90900,10,10
